id	conc_mass	mass_mol	conc_molar	CAS	roi
BHT_A	0	0	0	128-37-0	1
BHT_B	0	0	0	128-37-0	2
BHT_C	0	0	0	128-37-0	3
BHT_D	0	0	0	128-37-0	4
BHT_E	0	0	0	128-37-0	5
BHT_F	0	0	0	128-37-0	6
BHT_G	0	0	0	128-37-0	7
BHT_H	0	0	0	128-37-0	8
BHT_I	0	0	0	128-37-0	9
BHT_J	0	0	0	128-37-0	10
BHT_K	0	0	0	128-37-0	11
BHT_L	0	0	0	128-37-0	12
